year,state,Auto,Bus,Truck,Motorcycle
1998,Pennsylvania,6131725,35309,2811780,191073
1998,Rhode Island,522292,1831,190894,17673
1998,South Carolina,1822640,15399,1055022,41116
1998,South Dakota,381752,2696,384059,25210
1998,Tennessee,2695539,17576,1755950,59620
1998,Texas,7455714,80091,5788362,149175
1998,Utah,850487,1232,680534,24470
1998,Vermont,295664,1931,198558,16684
1998,Virginia,3774372,17783,2026139,57582
1998,Washington,2776482,9088,2038417,106352
1998,West Virginia,776583,3299,597953,22496
1998,Wisconsin,2544109,13438,1645772,170329
1998,Wyoming,219220,2661,337110,15799
1999,Alabama,1918032,8708,2030509,49205
1999,Alaska,238202,2372,330895,14924
1999,Arizona,2037370,4551,1564306,145190
1999,Arkansas,945871,6468,865486,21786
1999,California,16657441,47017,9658010,419572
1999,Colorado,2053579,5803,1798766,95027
1999,Connecticut,1994380,10011,761780,53521
1999,Delaware,401917,1986,211708,10704
1999,District of Columbia,197070,2609,35819,1489
1999,Florida,7304601,44045,4041067,235716
1999,Georgia,4011725,17520,2943465,87009
1999,Hawaii,454341,4184,259582,19302
1999,Idaho,494220,3580,631843,40779
1999,Illinois,6307479,17691,3030090,216641
1999,Indiana,3224493,26902,2243692,109472
1999,Iowa,1723848,8115,1318004,125201
1999,Kansas,1187320,3850,1033178,49682
1999,Kentucky,1592519,12525,1056945,41905
1999,Louisiana,1964922,21328,1518412,42908
1999,Maine,550537,2930,361988,30953
1999,Maryland,2665572,11476,1219249,45973
1999,Massachusetts,3822524,11710,1498954,103110
1999,Michigan,5069808,25536,3194300,167882
1999,Minnesota,2265392,14664,1729661,126786
1999,Mississippi,1299441,10544,1006787,32212
1999,Missouri,2601830,13551,1788863,57329
1999,Montana,455430,2811,539664,22216
1999,Nebraska,833415,5797,730341,19631
1999,Nevada,620131,1771,540474,23499
1999,New Hampshire,678497,1713,370688,47656
1999,New Jersey,4341182,20565,1741011,105547
1999,New Mexico,761012,3524,811946,30669
1999,New York,7892118,50731,2813177,143547
1999,North Carolina,3423588,29987,2236865,78733
1999,North Dakota,342786,2289,359337,16387
1999,Ohio,6651554,36364,3547685,240590
1999,Oklahoma,1524424,16169,1390893,53277
1999,Oregon,1559972,12920,1440067,66609
1999,Pennsylvania,6071724,34930,2901946,200829
1999,Rhode Island,535034,1900,210076,19210
1999,South Carolina,1872502,15816,1137929,46844
1999,South Dakota,379168,2721,400072,25761
1999,Tennessee,2621508,17380,1787631,62985
1999,Texas,7738292,82589,6247839,168896
1999,Utah,856699,1242,719239,24674
1999,Vermont,301914,1938,213763,17663
1999,Virginia,3769276,17854,2084027,57464
1999,Washington,2741257,9137,2111756,107290
1999,West Virginia,759648,3211,616272,19447
1999,Wisconsin,2520717,13032,1732023,192806
1999,Wyoming,195762,2710,329722,15925
2000,Alabama,1961806,8776,1989567,54849
2000,Alaska,244305,2510,347584,16107
2000,Arizona,2163141,4594,1626803,165094
2000,Arkansas,951243,6684,882266,25020
2000,California,17321413,47312,10329198,448501
2000,Colorado,1920757,5786,1699469,98297
2000,Connecticut,2009190,10529,833730,54046
2000,Delaware,400306,2042,228098,10980
2000,District of Columbia,200288,2629,39164,1476
2000,Florida,7352705,45011,4383294,255210
2000,Georgia,4066530,18017,3070459,88071
2000,Hawaii,459515,4301,273735,20061
2000,Idaho,515266,3687,658747,42151
2000,Illinois,5953984,18298,3000302,195511
2000,Indiana,3244937,27285,2298720,117837
2000,Iowa,1751690,8223,1346310,126671
2000,Kansas,826441,3864,1465830,49867
2000,Kentucky,1673926,12934,1139543,44003
2000,Louisiana,1964694,21484,1570804,48244
2000,Maine,618283,3034,402779,28899
2000,Maryland,2605816,11852,1229870,49403
2000,Massachusetts,3673638,11934,1579827,106718
2000,Michigan,5023421,25827,3386473,183592
2000,Minnesota,2625595,14765,1989580,143055
2000,Mississippi,1318648,10374,960389,31859
2000,Missouri,2715215,12985,1851429,60940
2000,Montana,466659,2795,556772,26511
2000,Nebraska,852481,6032,760420,21159
2000,Nevada,655592,1837,562296,24912
2000,New Hampshire,670394,1733,379624,48651
2000,New Jersey,4450719,21538,1917774,111853
2000,New Mexico,729727,3440,795343,28554
2000,New York,7501343,54083,2679105,107486
2000,North Carolina,3743066,30631,2448806,82647
2000,North Dakota,339237,2312,352311,17035
2000,Ohio,6709706,37583,3720187,254666
